monomer,ontology,eta,lambda
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
nicotinic acid,Organic acids,0.0,0.16640993476321397
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
ornithine,Amino acids,0.0,0.18054813912886428
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
pantothenic acid ,Organic acids,0.0,0.0937592467017589
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
arabinose,Sugars,0.0,0.18410718853603372
